"Date Printed: Monday, April 13, 2026 2:51:16 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Male | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2012","North Dakota","38","4","1.1"
"Primary and Secondary Syphilis","2012","Ohio","39","340","6.0"
"Primary and Secondary Syphilis","2012","Oklahoma","40","77","4.1"
"Primary and Secondary Syphilis","2012","Oregon","41","206","10.7"
"Primary and Secondary Syphilis","2012","Pennsylvania","42","460","7.4"
"Primary and Secondary Syphilis","2012","Rhode Island","44","43","8.4"
"Primary and Secondary Syphilis","2012","South Carolina","45","191","8.3"
"Primary and Secondary Syphilis","2012","South Dakota","46","17","4.1"
"Primary and Secondary Syphilis","2012","Tennessee","47","235","7.5"
"Primary and Secondary Syphilis","2012","Texas","48","1,358","10.5"
"Primary and Secondary Syphilis","2012","Utah","49","42","2.9"
"Primary and Secondary Syphilis","2012","Vermont","50","6","1.9"
"Primary and Secondary Syphilis","2012","Virginia","51","264","6.6"
"Primary and Secondary Syphilis","2012","Washington","53","293","8.5"
"Primary and Secondary Syphilis","2012","West Virginia","54","6","0.7"
"Primary and Secondary Syphilis","2012","Wisconsin","55","80","2.8"
"Primary and Secondary Syphilis","2012","Wyoming","56","4","1.4"
"Primary and Secondary Syphilis","2011","Alabama","01","174","7.5"
"Primary and Secondary Syphilis","2011","Alaska","02","4","1.1"
"Primary and Secondary Syphilis","2011","Arizona","04","257","8.0"
