"Date Printed: Friday, April 24, 2026 6:19:32 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2012","Oklahoma","40","6","0.3"
"Primary and Secondary Syphilis","2012","Oregon","41","6","0.3"
"Primary and Secondary Syphilis","2012","Pennsylvania","42","34","0.5"
"Primary and Secondary Syphilis","2012","Rhode Island","44","1","0.2"
"Primary and Secondary Syphilis","2012","South Carolina","45","34","1.4"
"Primary and Secondary Syphilis","2012","South Dakota","46","1","0.2"
"Primary and Secondary Syphilis","2012","Tennessee","47","31","0.9"
"Primary and Secondary Syphilis","2012","Texas","48","269","2.0"
"Primary and Secondary Syphilis","2012","Utah","49","0","0.0"
"Primary and Secondary Syphilis","2012","Vermont","50","0","0.0"
"Primary and Secondary Syphilis","2012","Virginia","51","21","0.5"
"Primary and Secondary Syphilis","2012","Washington","53","9","0.3"
"Primary and Secondary Syphilis","2012","West Virginia","54","2","0.2"
"Primary and Secondary Syphilis","2012","Wisconsin","55","11","0.4"
"Primary and Secondary Syphilis","2012","Wyoming","56","0","0.0"
"Primary and Secondary Syphilis","2011","Alabama","01","54","2.2"
"Primary and Secondary Syphilis","2011","Alaska","02","1","0.3"
"Primary and Secondary Syphilis","2011","Arizona","04","15","0.5"
"Primary and Secondary Syphilis","2011","Arkansas","05","76","5.1"
"Primary and Secondary Syphilis","2011","California","06","103","0.5"
"Primary and Secondary Syphilis","2011","Colorado","08","4","0.2"
